agent_size,year,mean,std,ci,var,mae,n
100,3,0.666435,0.013939393618247663,0.009970948712579942,0.00019430669444444367,0.01356500000000005,10
100,6,0.7814699999999999,0.012433069702298835,0.008893464359831859,0.00015458122222222125,0.008530000000000149,10
100,9,0.80542,0.010843000814657642,0.007756076625304819,0.00011757066666666629,0.024579999999999935,10
250,3,0.66845,0.00252256483233499,0.001804408804013093,6.363333333333257e-06,0.01155000000000006,10
250,6,0.7843399999999999,0.003835492145735655,0.0027435551732013603,1.47109999999999e-05,0.005660000000000109,10
250,9,0.80942,0.003609416696488331,0.0025818417750900075,1.3027888888888735e-05,0.02057999999999993,10
500,3,0.6679200000000001,0.002296035230081984,0.0016423705469838174,5.271777777777629e-06,0.01207999999999998,10
500,6,0.7862349999999999,0.0030772507571243616,0.0022011796434866734,9.469472222222456e-06,0.0037650000000001294,10
500,9,0.8113349999999999,0.0030586898066546544,0.0021879028618519317,9.355583333333087e-06,0.018665000000000043,10
1000,3,0.6673850000000001,0.0016741581632437144,0.001197537399374235,2.8028055555555672e-06,0.012614999999999932,10
1000,6,0.7852050000000002,0.0012750708041342573,0.000912067335288362,1.6258055555555817e-06,0.004794999999999883,10
1000,9,0.8107749999999999,0.0011205777279798227,0.0008015573245251946,1.2556944444444215e-06,0.019225000000000048,10
1500,3,0.667965,0.0010162704145824644,0.0007269455515374105,1.032805555555614e-06,0.012035000000000018,10
1500,6,0.78608,0.0013233375314795136,0.0009465928732036998,1.7512222222222926e-06,0.003920000000000035,10
1500,9,0.8113100000000001,0.0012807983621337285,0.0009161642988023482,1.6404444444444414e-06,0.018689999999999873,10
2000,3,0.667985,0.0007630530781013854,0.0005458173658834972,5.822499999999989e-07,0.012014999999999998,10
2000,6,0.786165,0.000727266571943661,0.0005202190201251863,5.289166666666842e-07,0.003835000000000033,10
2000,9,0.81142,0.0005483308003994168,0.00039222497319777984,3.00666666666665e-07,0.01857999999999993,10
2500,3,0.6677150000000001,0.0004447533648613853,0.0003181352871028049,1.978055555555245e-07,0.01228499999999999,10
2500,6,0.786045,0.00037449966622145895,0.00026788231016622186,1.4024999999998417e-07,0.003955000000000042,10
2500,9,0.8113149999999999,0.000450339378197704,0.00032213100269916405,2.0280555555549469e-07,0.018685000000000063,10
3000,3,0.6679799999999999,0.00038456324432904884,0.00027508086011207204,1.478888888888837e-07,0.012020000000000142,10
3000,6,0.786215,0.00029911907699481247,0.00021396203144484125,8.947222222222855e-08,0.0037850000000000383,10
3000,9,0.8114549999999999,0.0003040924567006412,0.00021751952579022565,9.247222222223133e-08,0.018545000000000034,10
